,id,original_title,popularity,budget_adj,revenue_adj,tagline,keywords,genres,production_companies,vote_average,release_year
0,135397,Jurassic World,32.985763,137999939.28,1392445892.52,The park is open.,monster|dna|tyrannosaurus rex|velociraptor|island,Action,Universal Pictures,6.5,2015
1,76341,Mad Max: Fury Road,28.419936,137999939.28,348161292.489,What a Lovely Day.,future|chase|post-apocalyptic|dystopia|australia,Action,Village Roadshow Pictures,7.1,2015
2,262500,Insurgent,13.112507,101199955.472,271619025.408,One Choice Can Destroy You,based on novel|revolution|dystopia|sequel|dystopic future,Adventure,Summit Entertainment,6.3,2015
3,140607,Star Wars: The Force Awakens,11.173104,183999919.04,1902723129.8,Every generation has a story.,android|spaceship|jedi|space opera|3d,Action,Lucasfilm,7.5,2015
4,168259,Furious 7,9.335014,174799923.088,1385748801.47,Vengeance Hits Home,car race|speed|revenge|suspense|car,Action,Universal Pictures,7.3,2015
5,281957,The Revenant,9.1107,124199945.352,490314247.022,"(n. One who has returned, as if from the dead.)",father-son relationship|rape|based on novel|mountains|winter,Western,Regency Enterprises,7.2,2015
6,87101,Terminator Genisys,8.654359,142599937.256,405355075.684,Reset the future,saving the world|artificial intelligence|cyborg|killer robot|future,Science Fiction,Paramount Pictures,5.8,2015
7,286217,The Martian,7.6674,99359956.2816,547749654.31,Bring Him Home,based on novel|mars|nasa|isolation|botanist,Drama,Twentieth Century Fox Film Corporation,7.6,2015
8,211672,Minions,7.404165,68079970.0448,1064192016.8,"Before Gru, they had a history of bad bosses",assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,Family,Universal Pictures,6.5,2015
9,150540,Inside Out,6.326804,160999929.16,785411574.699,Meet the little voices inside your head.,dream|cartoon|imaginary friend|animation|kid,Comedy,Walt Disney Pictures,8.0,2015
10,206647,Spectre,6.200282,225399900.824,810220283.783,A Plan No One Escapes,spy|based on novel|secret agent|sequel|james bond,Action,Columbia Pictures,6.2,2015
11,76757,Jupiter Ascending,6.189369,161919931.515,169268630.682,Expand your universe.,jupiter|space|woman director|3d|interspecies romance,Science Fiction,Village Roadshow Pictures,5.2,2015
12,264660,Ex Machina,6.118847,13799993.928,33919845.9553,There is nothing more human than the will to survive,dancing|artificial intelligence|helicopter|distrust|isolation,Drama,DNA Films,7.6,2015
13,257344,Pixels,5.984995,80959964.3776,224146025.096,Game On.,video game|nerd|alien attack|3d|pixels,Action,Columbia Pictures,5.8,2015
14,99861,Avengers: Age of Ultron,5.944927,257599886.656,1292632336.88,A New Age Has Come.,marvel comic|comic|sequel|superhero|vision,Action,Marvel Studios,7.4,2015
15,273248,The Hateful Eight,5.8984,40479982.1888,143299244.588,No one comes up here without a damn good reason.,bounty hunter|wyoming|mountains|hangman|voice over narration,Crime,Double Feature Films,7.4,2015
16,260346,Taken 3,5.749758,44159980.5696,299709578.208,It Ends Here,revenge|murder|on the run|fugitive|framed,Crime,Twentieth Century Fox Film Corporation,6.1,2015
17,102899,Ant-Man,5.573184,119599947.376,477113780.03,Heroes Don't Get Any Bigger,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,Science Fiction,Marvel Studios,7.0,2015
18,150689,Cinderella,5.556818,87399961.544,498963025.216,Midnight is just the beginning.,cinderella|magic|fairy tale|princess|shoe,Romance,Walt Disney Pictures,6.8,2015
19,131634,The Hunger Games: Mockingjay - Part 2,5.476958,147199935.232,598481289.508,The fire will burn forever.,revolution|strong woman|dystopia|game of death|3d,War,Studio Babelsberg,6.5,2015
20,158852,Tomorrowland,5.462138,174799923.088,192312729.942,Imagine a world where nothing is impossible.,inventor|apocalypse|destiny|imax|dreamer,Action,Walt Disney Pictures,6.2,2015
21,307081,Southpaw,5.337064,27599987.856,84373003.7159,Believe in Hope.,sport,Action,Escape Artists,7.3,2015
22,254128,San Andreas,4.907832,101199955.472,432851374.985,"A rescue pilot survived an earthquake, this is what happens next",california|earthquake|catastrophe|disaster film|3d,Action,New Line Cinema,6.1,2015
23,216015,Fifty Shades of Grey,4.710402,36799983.808,524079119.045,Are you curious?,based on novel|billionaire|bdsm|woman director|erotic movie,Drama,Focus Features,5.3,2015
24,318846,The Big Short,4.648046,25759988.6656,122678731.541,This is a true story.,bank|fraud|biography|wall street|finances,Comedy,Paramount Pictures,7.3,2015
25,177677,Mission: Impossible - Rogue Nation,4.566713,137999939.28,627743451.673,Desperate Times. Desperate Measures.,spy|sequel|mission,Action,Paramount Pictures,7.1,2015
26,214756,Ted 2,4.564549,62559972.4736,198594430.138,"Ted is Coming, Again.",sperm bank|sequel|buddy|courthouse|teddy bear,Comedy,Universal Pictures,6.3,2015
27,207703,Kingsman: The Secret Service,4.503789,74519967.2112,371497801.661,Manners maketh man.,spy|great britain|secret organization|secret agent|marvel comic,Crime,Twentieth Century Fox Film Corporation,7.6,2015
28,314365,Spotlight,4.062293,18399991.904,81278719.3974,Break the story. Break the silence.,child abuse|journalism|judge|florida|boston,Drama,Participant Media,7.8,2015
29,294254,Maze Runner: The Scorch Trials,3.968891,56119975.3072,286356245.923,The Maze Was Just the Beginning.,based on novel|resistance|maze|post-apocalyptic|dystopia,Action,Gotham Group,6.4,2015
31,198184,Chappie,3.899557,45079980.1648,93903685.2424,I am consciousness. I am alive. I am Chappie.,artificial intelligence|android|robot|near future|robot cop,Crime,Columbia Pictures,6.6,2015
32,254470,Pitch Perfect 2,3.877764,26679988.2608,264505582.098,We're back pitches,music|sequel|singer|male female relationship|audition,Comedy,Universal Pictures,6.8,2015
33,296098,Bridge of Spies,3.64821,36799983.808,149601569.335,"In the shadow of war, one man showed the world what we stood for.",spy|cia|cold war|pilot|lawyer,Thriller,DreamWorks SKG,7.1,2015
34,257445,Goosebumps,3.644541,53359976.5216,138157089.011,The stories are alive.,based on novel|magic|fantasy|family|3d,Adventure,Columbia Pictures,6.2,2015
35,264644,Room,3.557846,5519997.5712,32569603.0294,Love knows no boundaries,based on novel|carpet|isolation|imprisonment|grandparents,Drama,Element Pictures,8.0,2015
37,105864,The Good Dinosaur,3.339135,160999929.16,305371920.876,Little Arms With Big Attitude,tyrannosaurus rex|friends|animation|alternate history|dinosaur,Adventure,Walt Disney Pictures,6.6,2015
38,241554,Run All Night,3.23737,45999979.76,65836683.5119,No sin goes unpunished,hitman|revenge|murder|on the run|mobster,Action,Vertigo Entertainment,6.3,2015
39,167073,Brooklyn,3.227329,10119995.5472,57110024.5916,"Two countries, two loves, one heart",love triangle|based on novel|homesickness|vororte|ship,Drama,Wildgaze Films,7.3,2015
40,277216,Straight Outta Compton,3.202719,25759988.6656,185504110.098,The Story of N.W.A.,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship,Drama,New Line Cinema,7.7,2015
